var_pipe_Qo_in[EH_aux0,EH];var_pipe_Qo_in[EN_aux0,EN];entry_nom_TA[EH_aux0,EH];entry_nom_TA[EN_aux0,EN]
256.8695966606177;943.0344006835326;400.0;700.0
228.09147755623732;942.5818154345105;400.0;700.0
142.50058922495285;954.0336689049269;400.0;700.0
213.9180978212902;880.7898583006349;400.0;700.0
238.35920593481654;852.4505210336049;400.0;700.0
212.83250858455835;858.905811332144;400.0;700.0
221.19503325796157;835.5590927185493;400.0;700.0
230.98361340994472;817.017240640658;400.0;700.0
315.4289936693682;735.0043978144387;400.0;700.0
308.38972742130954;730.3696809181449;400.0;700.0
304.2291417311176;715.0143466331534;400.0;700.0
334.0575494577995;695.6296913094666;400.0;700.0
390.01541804857413;685.3236711691809;400.0;700.0
406.27727465820453;680.8376234149398;400.0;700.0
410.27540146451776;674.9348774190632;400.0;700.0
420.5853422561438;670.860766258953;400.0;700.0
1887.2530533621573;-464.7262695546589;1100.0;0.0
914.4185002022172;-70.35662458850751;1100.0;0.0
663.5984997339518;68.93575656817163;1100.0;0.0
1220.471077880319;-127.29002612279018;1100.0;0.0
1143.0531775594332;-92.0332036371118;1100.0;0.0
892.7403911290893;39.491811708138165;1100.0;0.0
1063.8683144171305;-9.846513038047526;1100.0;0.0
1125.5907931847717;-34.14345783777807;1100.0;0.0
1022.2594139036255;14.649880503759277;1100.0;0.0
1050.749883334517;9.84741491508828;1100.0;0.0
1094.3013474938189;-5.538394390571625;1100.0;0.0
1066.1660162369467;7.865471099963202;1100.0;0.0
1063.4136940226567;11.075216506438437;1100.0;0.0
1081.790479091466;4.699418042081902;1100.0;0.0
1077.6535635738858;7.152337129657667;1100.0;0.0
1073.552736400052;9.514865502412363;1100.0;0.0
1079.711503755649;7.41004887467102;1100.0;0.0
1080.7582873641345;7.2771315884890555;1100.0;0.0
1079.1407667683518;8.185784475869127;1100.0;0.0
1081.031758973472;7.562574720545513;1100.0;0.0
1082.3972669618122;7.106822917412728;1100.0;0.0
1082.2463725028806;7.254521347630089;1100.0;0.0
1082.973863645783;7.010076690611754;1100.0;0.0
1083.930963289456;6.6512135370294345;1100.0;0.0
1084.3018221420841;6.526451818634769;1100.0;0.0
1084.7866532845494;6.344863972423241;1100.0;0.0
1085.4462503419732;6.083267964490801;1100.0;0.0
1085.9251553263482;5.89322566615715;1100.0;0.0
1086.3662946261231;5.715792847892999;1100.0;0.0
1086.873144782773;5.508293401702417;1100.0;0.0
1087.3314932653036;5.319569799576811;1100.0;0.0
1087.6309834756812;6.590817541956149;1100.0;0.0
1087.85048850923;8.962307724072218;1050.0;50.0
1088.1733866636703;9.284461452493275;1050.0;50.0
1088.3754570433452;9.224424832898258;1050.0;50.0
1088.4511760958544;9.899470049800811;1050.0;50.0
1088.6004566399565;10.219074906569524;1050.0;50.0
1088.733377970453;10.251932386199421;1050.0;50.0
1088.7731224316888;10.441649455967102;1050.0;50.0
1088.8279408700014;10.595858462502314;1050.0;50.0
1088.8980638238086;10.641499114235735;1000.0;100.0
1088.9265306994785;10.707687105846134;1000.0;100.0
1088.9467126237248;10.775018085845879;1000.0;100.0
1088.9780608474298;10.805280985875676;1000.0;100.0
1088.9962249152527;10.832508878047143;1000.0;100.0
1089.0053197845348;10.861834128528173;1000.0;100.0
1089.0182432958325;10.878670407325473;1000.0;100.0
1089.0281704567162;10.890964721064378;1000.0;100.0
926.9530737873495;231.7236703060397;1050.0;50.0
927.9431473327113;213.92314532718143;1050.0;50.0
916.9868877099407;168.96410779125472;1050.0;50.0
897.4113318549062;180.45062508236416;1050.0;50.0
888.3618341922615;186.20607067625238;1050.0;50.0
888.1865876790057;174.98750239416634;1050.0;50.0
886.9108818657621;170.66206948421086;1050.0;50.0
886.714902547542;169.27795612357713;1050.0;50.0
970.2078239324575;222.01675396748513;750.0;350.0
940.0000192156549;335.8297921500715;750.0;350.0
871.9233348817044;419.0947022318727;750.0;350.0
837.8461849951244;399.49857163054276;750.0;350.0
799.8493513156567;422.9063355363253;750.0;350.0
760.0466242742285;456.0006449371161;750.0;350.0
726.9065292709819;463.2421675946157;750.0;350.0
701.6944171802272;468.2229904241297;750.0;350.0
